"booking_id","schedule_id","origin","destination","travel_date","season","is_holiday","bus_type","distance_km","days_in_advance","booking_channel","seat_class","passenger_type","fare_paid_inr","cancellation","refund_inr","net_revenue_inr"
"BK00001","SCH0184","CHENNAI KILAMBAKKAM KCBT","TIRUPPUR",2024-10-31,"Festive",FALSE,"Volvo AC Semi-Sleeper",480,22,"Online","Sleeper","Adult",680,FALSE,0,680
"BK00002","SCH0137","CHENNAI KILAMBAKKAM KCBT","THANJAVUR",2024-11-16,"Festive",FALSE,"Volvo AC Semi-Sleeper",347,25,"Counter","Seater","Student",410,FALSE,0,410
"BK00003","SCH0366","NAGERCOIL","MADURAI",2024-10-18,"Festive",FALSE,"Volvo AC Sleeper",241,8,"Phone","Sleeper","Adult",405,FALSE,0,405
"BK00004","SCH0185","COIMBATORE","SALEM",2025-01-30,"Winter",FALSE,"Volvo AC Semi-Sleeper",165,5,"Online","Semi-Sleeper","Adult",305,FALSE,0,305
"BK00005","SCH0229","TIRUPPUR","SALEM",2024-10-27,"Festive",FALSE,"Volvo AC Seater",132,28,"Online","Seater","Student",150,FALSE,0,150
"BK00006","SCH0326","CHENNAI KILAMBAKKAM KCBT","MADURAI",2025-01-14,"Winter",TRUE,"Volvo AC Semi-Sleeper",463,1,"Agent","Sleeper","Adult",990,FALSE,0,990
"BK00007","SCH0132","CHENNAI KILAMBAKKAM KCBT","TIRUCHENDUR",2024-11-22,"Festive",FALSE,"Volvo AC Semi-Sleeper",630,1,"Counter","Sleeper","Adult",1560,TRUE,1170,390
"BK00008","SCH0335","NAGERCOIL","MADURAI",2025-01-08,"Winter",FALSE,"Volvo AC Semi-Sleeper",241,5,"Agent","Sleeper","Student",385,FALSE,0,385
"BK00009","SCH0307","CHENNAI KILAMBAKKAM KCBT","MADURAI",2025-02-25,"Winter",FALSE,"Volvo AC Semi-Sleeper",463,10,"Online","Semi-Sleeper","Adult",735,FALSE,0,735
"BK00010","SCH0095","CHENNAI KILAMBAKKAM KCBT","COIMBATORE",2025-02-12,"Winter",FALSE,"Volvo AC Sleeper",497,24,"Phone","Semi-Sleeper","Adult",690,FALSE,0,690
"BK00011","SCH0138","CHENNAI KILAMBAKKAM KCBT","NAGERCOIL",2024-11-22,"Festive",FALSE,"Volvo AC Seater",680,15,"Online","Sleeper","Adult",990,FALSE,0,990
"BK00012","SCH0083","MADURAI","TRICHY",2025-01-18,"Winter",FALSE,"Volvo AC Sleeper",135,0,"Phone","Semi-Sleeper","Adult",290,FALSE,0,290
"BK00013","SCH0382","THANJAVUR","TRICHY",2024-12-23,"Winter",FALSE,"Volvo AC Semi-Sleeper",77,9,"Counter","Sleeper","Adult",115,FALSE,0,115
"BK00014","SCH0328","CHENNAI KILAMBAKKAM KCBT","NAGERCOIL",2024-11-20,"Festive",FALSE,"Volvo AC Seater",680,3,"Agent","Sleeper","Adult",1325,FALSE,0,1325
"BK00015","SCH0047","CHENNAI KILAMBAKKAM KCBT","TIRUNELVELI",2024-11-02,"Festive",FALSE,"Volvo AC Seater",631,9,"Online","Semi-Sleeper","Adult",1010,FALSE,0,1010
"BK00016","SCH0003","CHENNAI KILAMBAKKAM KCBT","TIRUNELVELI",2024-09-14,"Normal",FALSE,"Volvo AC Sleeper",631,1,"Counter","Semi-Sleeper","Senior",1280,FALSE,0,1280
"BK00017","SCH0391","NAGERCOIL","TIRUNELVELI",2024-12-28,"Winter",FALSE,"Volvo AC Seater",84,3,"Online","Sleeper","Child",85,FALSE,0,85
"BK00018","SCH0297","TIRUCHENDUR","MADURAI",2024-12-16,"Winter",FALSE,"Volvo AC Semi-Sleeper",195,26,"Online","Sleeper","Adult",285,FALSE,0,285
"BK00019","SCH0451","CHENNAI KILAMBAKKAM KCBT","TIRUNELVELI",2024-09-21,"Normal",FALSE,"Volvo AC Semi-Sleeper",631,5,"Counter","Semi-Sleeper","Senior",965,FALSE,0,965
"BK00020","SCH0132","CHENNAI KILAMBAKKAM KCBT","TIRUCHENDUR",2024-11-22,"Festive",FALSE,"Volvo AC Semi-Sleeper",630,13,"Online","Sleeper","Child",475,FALSE,0,475
"BK00021","SCH0179","CHENNAI KILAMBAKKAM KCBT","TIRUPPUR",2024-09-10,"Normal",FALSE,"Volvo AC Sleeper",480,7,"Counter","Sleeper","Adult",800,TRUE,600,200
"BK00022","SCH0141","CHENNAI KILAMBAKKAM KCBT","TRICHY",2024-09-01,"Normal",FALSE,"Volvo AC Seater",336,17,"Counter","Sleeper","Senior",410,FALSE,0,410
"BK00023","SCH0384","CHENNAI KILAMBAKKAM KCBT","COIMBATORE",2024-09-29,"Normal",FALSE,"Volvo AC Semi-Sleeper",497,4,"Agent","Semi-Sleeper","Child",415,TRUE,311,104
"BK00024","SCH0423","CHENNAI KILAMBAKKAM KCBT","SALEM",2024-10-24,"Festive",TRUE,"Volvo AC Semi-Sleeper",337,18,"Online","Sleeper","Adult",440,FALSE,0,440
"BK00025","SCH0268","TIRUCHENDUR","TRICHY",2025-02-17,"Winter",FALSE,"Volvo AC Seater",327,29,"Agent","Sleeper","Adult",435,FALSE,0,435
"BK00026","SCH0263","NAGERCOIL","TRICHY",2025-01-08,"Winter",FALSE,"Volvo AC Sleeper",395,20,"Online","Sleeper","Adult",565,FALSE,0,565
"BK00027","SCH0013","TIRUCHENDUR","MADURAI",2024-11-30,"Festive",FALSE,"Volvo AC Seater",195,20,"Online","Sleeper","Adult",295,FALSE,0,295
"BK00028","SCH0379","CHENNAI KILAMBAKKAM KCBT","THANJAVUR",2025-01-17,"Winter",FALSE,"Volvo AC Sleeper",347,11,"Counter","Seater","Adult",520,FALSE,0,520
"BK00029","SCH0135","TIRUPPUR","SALEM",2025-01-15,"Winter",TRUE,"Volvo AC Sleeper",132,26,"Agent","Seater","Senior",165,FALSE,0,165
"BK00030","SCH0176","NAGERCOIL","TRICHY",2024-10-03,"Festive",FALSE,"Volvo AC Seater",395,16,"Online","Semi-Sleeper","Student",455,FALSE,0,455
"BK00031","SCH0070","COIMBATORE","SALEM",2024-09-13,"Normal",FALSE,"Volvo AC Semi-Sleeper",165,16,"Counter","Semi-Sleeper","Senior",220,FALSE,0,220
"BK00032","SCH0200","CHENNAI KILAMBAKKAM KCBT","TIRUNELVELI",2024-09-26,"Normal",FALSE,"Volvo AC Sleeper",631,17,"Counter","Sleeper","Adult",820,FALSE,0,820
"BK00033","SCH0181","THANJAVUR","TRICHY",2024-09-09,"Normal",FALSE,"Volvo AC Sleeper",77,11,"Online","Semi-Sleeper","Senior",100,FALSE,0,100
"BK00034","SCH0444","TIRUNELVELI","MADURAI",2025-02-21,"Winter",FALSE,"Volvo AC Sleeper",175,9,"Online","Seater","Adult",255,TRUE,191,64
"BK00035","SCH0286","COIMBATORE","SALEM",2024-10-06,"Festive",FALSE,"Volvo AC Seater",165,15,"Online","Seater","Adult",265,FALSE,0,265
"BK00036","SCH0352","CHENNAI KILAMBAKKAM KCBT","TRICHY",2024-11-05,"Festive",FALSE,"Volvo AC Sleeper",336,0,"Phone","Semi-Sleeper","Adult",755,FALSE,0,755
