"schedule_id","travel_date","season","is_holiday","day_of_week","is_weekend","origin","destination","distance_km","travel_time_hrs","base_fare_inr","bus_type","total_seats","cost_per_km","fixed_cost_inr","departure_hour","passengers_booked","occupancy_rate","seats_available","fare_multiplier","actual_fare_inr","total_revenue_inr","variable_cost_inr","total_cost_inr","profit_inr","profit_margin_pct","revenue_per_km","cost_per_seat_km","load_factor","delay_occurred","delay_minutes","on_time"
"SCH0001",2025-02-06,"Winter",FALSE,"Thursday",FALSE,"NAGERCOIL","MADURAI",241,4.38,420,"Volvo AC Seater",44,20,2500,20,26,0.591,18,1.124,470,12220,4820,7320,4900,40.1,50.71,0.6903,0.591,TRUE,52,FALSE
"SCH0002",2025-02-26,"Winter",TRUE,"Wednesday",FALSE,"CHENNAI KILAMBAKKAM KCBT","TIRUCHENDUR",630,11.45,1050,"Volvo AC Semi-Sleeper",40,24,3000,19,32,0.8,8,1.175,1235,39520,15120,18120,21400,54.15,62.73,0.719,0.8,FALSE,0,TRUE
"SCH0003",2024-09-14,"Normal",FALSE,"Saturday",TRUE,"CHENNAI KILAMBAKKAM KCBT","TIRUNELVELI",631,11.47,1020,"Volvo AC Sleeper",36,28,3500,6,21,0.583,15,1.109,1130,23730,17668,21168,2562,10.8,37.61,0.9319,0.583,FALSE,0,TRUE
"SCH0004",2025-02-17,"Winter",FALSE,"Monday",FALSE,"CHENNAI KILAMBAKKAM KCBT","MADURAI",463,8.42,740,"Volvo AC Sleeper",36,28,3500,17,25,0.694,11,1.12,830,20750,12964,16464,4286,20.66,44.82,0.9878,0.694,TRUE,83,FALSE
"SCH0005",2024-10-20,"Festive",FALSE,"Sunday",TRUE,"THANJAVUR","TRICHY",77,1.4,120,"Volvo AC Sleeper",36,28,3500,18,33,0.917,3,1.396,170,5610,2156,5656,-46,-0.82,72.86,2.0404,0.917,FALSE,0,TRUE
"SCH0006",2024-12-27,"Winter",FALSE,"Friday",FALSE,"BENGALURU","CHENNAI KILAMBAKKAM KCBT",346,6.29,680,"Volvo AC Semi-Sleeper",40,24,3000,8,31,0.775,9,1.283,870,26970,8304,11304,15666,58.09,77.95,0.8168,0.775,FALSE,0,TRUE
"SCH0007",2024-10-13,"Festive",FALSE,"Sunday",TRUE,"MADURAI","TRICHY",135,2.45,220,"Volvo AC Sleeper",36,28,3500,22,36,1,0,1.459,320,11520,3780,7280,4240,36.81,85.33,1.4979,1,FALSE,0,TRUE
"SCH0008",2024-09-14,"Normal",FALSE,"Saturday",TRUE,"TIRUCHENDUR","TRICHY",327,5.95,535,"Volvo AC Semi-Sleeper",40,24,3000,17,27,0.675,13,1.075,575,15525,7848,10848,4677,30.13,47.48,0.8294,0.675,FALSE,0,TRUE
"SCH0009",2024-12-27,"Winter",FALSE,"Friday",FALSE,"TIRUPPUR","SALEM",132,2.4,210,"Volvo AC Sleeper",36,28,3500,14,28,0.778,8,1.294,270,7560,3696,7196,364,4.81,57.27,1.5143,0.778,FALSE,0,TRUE
"SCH0010",2025-01-31,"Winter",FALSE,"Friday",FALSE,"NAGERCOIL","TIRUNELVELI",84,1.53,145,"Volvo AC Sleeper",36,28,3500,10,30,0.833,6,1.253,180,5400,2352,5852,-452,-8.37,64.29,1.9352,0.833,FALSE,0,TRUE
"SCH0011",2024-11-29,"Festive",FALSE,"Friday",FALSE,"CHENNAI KILAMBAKKAM KCBT","TIRUNELVELI",631,11.47,1020,"Volvo AC Sleeper",36,28,3500,18,30,0.833,6,1.21,1235,37050,17668,21168,15882,42.87,58.72,0.9319,0.833,FALSE,0,TRUE
"SCH0012",2024-11-30,"Festive",FALSE,"Saturday",TRUE,"CHENNAI KILAMBAKKAM KCBT","SALEM",337,6.13,535,"Volvo AC Seater",44,20,2500,20,40,0.909,4,1.373,735,29400,6740,9240,20160,68.57,87.24,0.6231,0.909,FALSE,0,TRUE
"SCH0013",2024-11-30,"Festive",FALSE,"Saturday",TRUE,"TIRUCHENDUR","MADURAI",195,3.55,320,"Volvo AC Seater",44,20,2500,6,44,1,0,1.424,455,20020,3900,6400,13620,68.03,102.67,0.7459,1,TRUE,43,FALSE
"SCH0014",2024-12-01,"Winter",FALSE,"Sunday",TRUE,"COIMBATORE","SALEM",165,3,295,"Volvo AC Seater",44,20,2500,18,36,0.818,8,1.228,360,12960,3300,5800,7160,55.25,78.55,0.7989,0.818,FALSE,0,TRUE
"SCH0015",2025-01-15,"Winter",TRUE,"Wednesday",FALSE,"CHENNAI KILAMBAKKAM KCBT","NAGERCOIL",680,12.36,1145,"Volvo AC Sleeper",36,28,3500,14,31,0.861,5,1.17,1340,41540,19040,22540,19000,45.74,61.09,0.9208,0.861,FALSE,0,TRUE
"SCH0016",2024-12-08,"Winter",FALSE,"Sunday",TRUE,"NAGERCOIL","MADURAI",241,4.38,420,"Volvo AC Semi-Sleeper",40,24,3000,22,36,0.9,4,1.424,600,21600,5784,8784,12816,59.33,89.63,0.9112,0.9,TRUE,62,FALSE
"SCH0017",2024-11-11,"Festive",FALSE,"Monday",FALSE,"CHENNAI KILAMBAKKAM KCBT","TIRUNELVELI",631,11.47,1020,"Volvo AC Seater",44,20,2500,18,40,0.909,4,1.358,1385,55400,12620,15120,40280,72.71,87.8,0.5446,0.909,FALSE,0,TRUE
"SCH0018",2024-09-26,"Normal",FALSE,"Thursday",FALSE,"NAGERCOIL","TRICHY",395,7.18,650,"Volvo AC Seater",44,20,2500,18,32,0.727,12,1.138,740,23680,7900,10400,13280,56.08,59.95,0.5984,0.727,FALSE,0,TRUE
"SCH0019",2024-09-07,"Normal",FALSE,"Saturday",TRUE,"CHENNAI KILAMBAKKAM KCBT","NAGERCOIL",680,12.36,1145,"Volvo AC Seater",44,20,2500,10,34,0.773,10,1.24,1420,48280,13600,16100,32180,66.65,71,0.5381,0.773,FALSE,0,TRUE
"SCH0020",2025-02-17,"Winter",FALSE,"Monday",FALSE,"NAGERCOIL","MADURAI",241,4.38,420,"Volvo AC Semi-Sleeper",40,24,3000,18,30,0.75,10,1.297,545,16350,5784,8784,7566,46.28,67.84,0.9112,0.75,FALSE,0,TRUE
"SCH0021",2025-01-15,"Winter",TRUE,"Wednesday",FALSE,"CHENNAI KILAMBAKKAM KCBT","MADURAI",463,8.42,740,"Volvo AC Sleeper",36,28,3500,21,30,0.833,6,1.185,875,26250,12964,16464,9786,37.28,56.7,0.9878,0.833,FALSE,0,TRUE
"SCH0022",2025-02-11,"Winter",FALSE,"Tuesday",FALSE,"CHENNAI KILAMBAKKAM KCBT","TIRUCHENDUR",630,11.45,1050,"Volvo AC Sleeper",36,28,3500,22,29,0.806,7,1.213,1275,36975,17640,21140,15835,42.83,58.69,0.9321,0.806,FALSE,0,TRUE
"SCH0023",2024-11-17,"Festive",FALSE,"Sunday",TRUE,"BENGALURU","CHENNAI KILAMBAKKAM KCBT",346,6.29,680,"Volvo AC Sleeper",36,28,3500,17,32,0.889,4,1.165,790,25280,9688,13188,12092,47.83,73.06,1.0588,0.889,FALSE,0,TRUE
"SCH0024",2024-11-20,"Festive",FALSE,"Wednesday",FALSE,"CHENNAI KILAMBAKKAM KCBT","THANJAVUR",347,6.31,545,"Volvo AC Seater",44,20,2500,20,35,0.795,9,1.192,650,22750,6940,9440,13310,58.51,65.56,0.6183,0.795,FALSE,0,TRUE
"SCH0025",2024-10-13,"Festive",FALSE,"Sunday",TRUE,"NAGERCOIL","MADURAI",241,4.38,420,"Volvo AC Semi-Sleeper",40,24,3000,22,40,1,0,1.336,560,22400,5784,8784,13616,60.79,92.95,0.9112,1,FALSE,0,TRUE
"SCH0026",2024-12-12,"Winter",FALSE,"Thursday",FALSE,"TIRUCHENDUR","MADURAI",195,3.55,320,"Volvo AC Semi-Sleeper",40,24,3000,18,28,0.7,12,1.002,320,8960,4680,7680,1280,14.29,45.95,0.9846,0.7,TRUE,87,FALSE
"SCH0027",2024-12-26,"Winter",FALSE,"Thursday",FALSE,"TIRUPPUR","SALEM",132,2.4,210,"Volvo AC Seater",44,20,2500,8,32,0.727,12,1.1,230,7360,2640,5140,2220,30.16,55.76,0.885,0.727,FALSE,0,TRUE
"SCH0028",2024-11-15,"Festive",TRUE,"Friday",FALSE,"CHENNAI KILAMBAKKAM KCBT","THANJAVUR",347,6.31,545,"Volvo AC Sleeper",36,28,3500,18,36,1,0,1.47,800,28800,9716,13216,15584,54.11,83,1.058,1,FALSE,0,TRUE
"SCH0029",2025-01-21,"Winter",FALSE,"Tuesday",FALSE,"CHENNAI KILAMBAKKAM KCBT","TRICHY",336,6.11,530,"Volvo AC Semi-Sleeper",40,24,3000,19,31,0.775,9,1.241,660,20460,8064,11064,9396,45.92,60.89,0.8232,0.775,FALSE,0,TRUE
"SCH0030",2024-10-02,"Festive",TRUE,"Wednesday",FALSE,"NAGERCOIL","MADURAI",241,4.38,420,"Volvo AC Seater",44,20,2500,8,42,0.955,2,1.457,610,25620,4820,7320,18300,71.43,106.31,0.6903,0.955,TRUE,27,FALSE
"SCH0031",2024-12-18,"Winter",FALSE,"Wednesday",FALSE,"CHENNAI KILAMBAKKAM KCBT","THANJAVUR",347,6.31,545,"Volvo AC Seater",44,20,2500,20,31,0.705,13,1.106,605,18755,6940,9440,9315,49.67,54.05,0.6183,0.705,FALSE,0,TRUE
"SCH0032",2024-09-07,"Normal",FALSE,"Saturday",TRUE,"CHENNAI KILAMBAKKAM KCBT","TIRUPPUR",480,8.73,750,"Volvo AC Semi-Sleeper",40,24,3000,14,29,0.725,11,1.092,820,23780,11520,14520,9260,38.94,49.54,0.7562,0.725,FALSE,0,TRUE
"SCH0033",2025-01-15,"Winter",TRUE,"Wednesday",FALSE,"CHENNAI KILAMBAKKAM KCBT","TIRUNELVELI",631,11.47,1020,"Volvo AC Sleeper",36,28,3500,21,32,0.889,4,1.198,1220,39040,17668,21168,17872,45.78,61.87,0.9319,0.889,FALSE,0,TRUE
"SCH0034",2025-02-16,"Winter",FALSE,"Sunday",TRUE,"BENGALURU","CHENNAI KILAMBAKKAM KCBT",346,6.29,680,"Volvo AC Sleeper",36,28,3500,22,30,0.833,6,1.213,825,24750,9688,13188,11562,46.72,71.53,1.0588,0.833,TRUE,56,FALSE
"SCH0035",2024-11-13,"Festive",FALSE,"Wednesday",FALSE,"THANJAVUR","TRICHY",77,1.4,120,"Volvo AC Seater",44,20,2500,18,43,0.977,1,1.348,160,6880,1540,4040,2840,41.28,89.35,1.1924,0.977,FALSE,0,TRUE
"SCH0036",2024-09-23,"Normal",FALSE,"Monday",FALSE,"CHENNAI KILAMBAKKAM KCBT","COIMBATORE",497,9.04,825,"Volvo AC Seater",44,20,2500,18,29,0.659,15,1.06,875,25375,9940,12440,12935,50.98,51.06,0.5689,0.659,FALSE,0,TRUE
"SCH0037",2025-02-02,"Winter",FALSE,"Sunday",TRUE,"CHENNAI KILAMBAKKAM KCBT","TIRUNELVELI",631,11.47,1020,"Volvo AC Sleeper",36,28,3500,18,32,0.889,4,1.239,1265,40480,17668,21168,19312,47.71,64.15,0.9319,0.889,FALSE,0,TRUE
"SCH0038",2024-10-23,"Festive",FALSE,"Wednesday",FALSE,"NAGERCOIL","TIRUNELVELI",84,1.53,145,"Volvo AC Semi-Sleeper",40,24,3000,22,38,0.95,2,1.376,200,7600,2016,5016,2584,34,90.48,1.4929,0.95,FALSE,0,TRUE
"SCH0039",2025-01-13,"Winter",FALSE,"Monday",FALSE,"MADURAI","TRICHY",135,2.45,220,"Volvo AC Sleeper",36,28,3500,22,27,0.75,9,1.194,265,7155,3780,7280,-125,-1.75,53,1.4979,0.75,FALSE,0,TRUE
"SCH0040",2024-10-23,"Festive",FALSE,"Wednesday",FALSE,"CHENNAI KILAMBAKKAM KCBT","TIRUNELVELI",631,11.47,1020,"Volvo AC Sleeper",36,28,3500,17,33,0.917,3,1.414,1440,47520,17668,21168,26352,55.45,75.31,0.9319,0.917,TRUE,64,FALSE
"SCH0041",2025-02-02,"Winter",FALSE,"Sunday",TRUE,"CHENNAI KILAMBAKKAM KCBT","TIRUPPUR",480,8.73,750,"Volvo AC Sleeper",36,28,3500,22,28,0.778,8,1.283,960,26880,13440,16940,9940,36.98,56,0.9803,0.778,FALSE,0,TRUE
"SCH0042",2025-02-13,"Winter",FALSE,"Thursday",FALSE,"CHENNAI KILAMBAKKAM KCBT","TIRUNELVELI",631,11.47,1020,"Volvo AC Sleeper",36,28,3500,19,26,0.722,10,1.051,1070,27820,17668,21168,6652,23.91,44.09,0.9319,0.722,FALSE,0,TRUE
"SCH0043",2024-10-04,"Festive",FALSE,"Friday",FALSE,"CHENNAI KILAMBAKKAM KCBT","TIRUPPUR",480,8.73,750,"Volvo AC Sleeper",36,28,3500,19,32,0.889,4,1.235,925,29600,13440,16940,12660,42.77,61.67,0.9803,0.889,FALSE,0,TRUE
"SCH0044",2024-11-08,"Festive",FALSE,"Friday",FALSE,"TIRUNELVELI","TRICHY",315,5.73,510,"Volvo AC Sleeper",36,28,3500,18,32,0.889,4,1.295,660,21120,8820,12320,8800,41.67,67.05,1.0864,0.889,FALSE,0,TRUE
